,Date,Dead,Injured,Location,Description,Perpetrators,Part of
249,October 5,0,6,"Kathmandu, Nepal","At least six people were wounded when a bomb went off at the Kathmandu Development Committee office. Four young men and two young women, suspected to be anti-government insurgents threw a bomb on the ground floor of the building. Several rooms were damaged.[1]",Communist Party of Nepal (suspected),Nepalese civil war
250,October 6,2,4,"Badakhshan Province, Afghanistan","The governor of Badakhshan Province and three other people were injured in an explosion. Two other people died in the incident, in which a landmine was detonated by remote-control. Hamid Karzai's running mate, Ahmed Zia Masud, was 200 meters away from the explosion. He was not injured in the attack.[1]",Taliban,War in Afghanistan
251,October 6,2,0,Thailand,"Suspected Muslim extremists killed two officials and injured seven others, hours after the government reshuffled the cabinet to create a new terrorism team. The attack took place in one of the troubled southern provinces.[1]",Pattani separatists (suspected),South Thailand insurgency
252,October 7,38,100,"Pakistan, Pakistan","2004 Multan bombing: A powerful car bomb explosion killed over thirty-eight people and injured at least a hundred others. The explosion occurred after people were going home following the end of a religious rally among members of the outlawed Sunni Muslim group Millat-e-Islamia, who were marking the anniversary of their slain leader Azam Tariq. The bomb was a remote-detonate device. The attacks may have been in response to a bombing of a Shia mosque days before.[1]",Shia extremists,Sectarianism in Pakistan
253,October 7,34 (+2),171,"Ras al-Shitan, Egypt","2004 Sinai bombings: In the final of three coordinated attacks in the Sinai, a car-bomb was detonated outside of al-Badiyah campground in Ras al-Shitan. The attacker, believed to be either Mohamed Ahmed Saleh Flayfil or Hammad Gaman Gomah (both Egyptians), drove a Nissan to the entrance to the camp and fled shortly before the bomb detonated. In the two attacks at Ras al-Shitan, it is believed that two people were killed and some twelve injured. The majority of the fatalities in the coordinated operations occurred in the Taba attack, in which 400 lbs of explosives were used to sheer off the front of the ten story Hilton hotel. On October 26, authorities arrested five Egyptians in connection with these attacks. The Battalions of the Martyr Abdullah Azzam, Al-Qaeda in the Levant and Egypt claimed responsibility for the attacks, but their claim was never verified.[1]",Palestinian group,Arab–Israeli conflict
254,October 8,0,10,"Paris, France","An explosive device detonated at the Indonesian Embassy in downtown Paris, injuring ten people. The explosion shattered the windows in nearby buildings and flying glass was the cause of most of the injuries. A group calling themselves the ""French Armed Islamic Front"" claimed responsibility for the attack, though authorities are unsure whether they claim is believable or not. The group called for the release of two guerrilla fighters believed to be members of the Algerian Islamic Army (GIA), who are serving life sentences for a bomb attack in Paris in 1990.[1]",Armed Islamic Group,
255,October 10,4,16,"Islamabad, Pakistan","Four people were killed when a suicide bomber detonated a powerful bomb at a Jamia Kashmiryan Shia mosque. Roughly 200 Muslims had gathered at the Mosque for Maghrib prayers. The bomber attempted to enter the mosque at the main gate, but was stopped by a security guard who was killed when the bomber shot him. The bomber appeared to have had the bomb in a bag and detonated it at the entrance to the mosque. Sixteen people were also injured by the blast.[1]",Lashkar-e-Jhangvi (suspected),Sectarianism in Pakistan
256,October 12,1,5,"Pattani Province, Thailand",A paramilitary volunteer was killed and five policemen injured when gunmen opened fire on a government office and nearby police station at Kapho in Pattani province. Police are blaming Muslim insurgents.[1],Pattani separatists,South Thailand Insurgency
257,October 15,6,10,"Al-Dawrah, Iraq","A car driven by a suicide bomber blew up in an Iraqi Police contingent in main street in Al-Dawrah, south Baghdad. One civilian and nine policemen were injured in the incident and five police were killed.[1]",Islamists (suspected),Iraq War
258,October 15,6,18,"Baghdad, Iraq","Two bombs were detonated by suicide bombers in the 'Green Zone' of Baghdad, killing at least ten people, including four Americans (all workers at Dyncorp), and wounding twenty others (including two US state department employees). The bombs were set off close together at a market and popular café. The group led by Abu Musab Al-Zarquawi, Tawhid and Jihad, claimed responsibility for the blasts. Two Jordanian men are suspected of perpetrating the café blast. Both entered the café, drank tea, and then one left. The other detonated his bomb following the exit of the first man. At least six were killed and about eighteen injured in the café blast. None of the killed in this incident were Americans.[1]",Jama'at al-Tawhid wal-Jihad,Iraq War
259,October 17,1,6,"Chechnya, Russia","A car bomb exploded outside of a hospital in Groznyy, killing gone police officer and wounding 2 other officers and four pedestrians.[1]",ChRI,Second Chechen War
260,October 21,1,14,"Baghdad, Iraq","Gunmen opened fire on a bus carrying female employees of the Iraqi Airways at the Baghdad airport, killing one woman and injuring fourteen others. Sources indicate that two cars of armed men stopped the bus on the western outskirts of the capital. One assailant threw at least two hand grenades into the bus and then gunmen opened fire from the outside.[1]",Islamists (suspected),Iraq War
261,October 23,3,8,"Kabul, Afghanistan","The Taliban claimed responsibility for a suicide mission carried out on ""Chicken Street"", a narrow, busy shopping district with jewelry, rug, and antique shops in Kabul. There were reportedly two fatalities, one US woman civilian and an Afghani. There were at least seven others wounded, including three Icelandic ISAF soldiers. Afghan citizens comprise the rest of the wounded group.[1]",Taliban,War in Afghanistan
262,October 23,17,30,"Khan Al-Baghdadi, Iraq","A suicide car bomber attacked a police station in Khan al-Baghdadi killing sixteen Iraqi police and wounding at least thirty others. The car bomb targeted the police station where many Iraqis were lined up to surrender their weapons and/or join the police force. The station is also the site of a police training center. At the time of the attack, police were gathered at the station for a training course.[1]",Islamist insurgents,Iraq War
263,October 24,0,7,"Kashmir, India","Militant perpetrators detonated a bomb, attempting to kill Omar Abdullah, the leader of pro-India National Conference Party. The attack was carried out as Abdullah was attending a prayer ceremony for the former National Conference minister Safdar Ali Baig (killed by militants). The rebels' bomb missed their target, but injured four others in the crowd. There were no fatalities.[1]",Islamists,Kashmir conflict
264,October 24,0,6,"Trabzon, Turkey",Six people were injured when an explosive device detonated at a McDonald's fast food restaurant in Trabzon. The victims were taken to the hospital immediately after the blast. The perpetrators managed to escape. No further information is available.[1],Unknown,
265,October 25,8,9,"Mosul, Iraq","Two suicide car bombs detonated in Mosul, killing at least three Iraqis and wounding at least nine government employees. Both suicide attackers were also killed. The first bomb caused most of the casualties and targeted a Nineveh governorate compound.[1]",Islamists,Iraq War
266,October 28,0,9,"Islamabad, Pakistan","There was an explosion in the lobby of a Marriott Hotel in the center of Islamabad. The government of Pakistan claims that there was an electrical short circuit, but there is evidence of foul play. The hotel is frequented by foreign journalists, diplomats, and business people and is located a few hundred meters from the president's house. There were US diplomats and military troops at the hotel. There was a purported ""important personality"" to arrive at the hotel on November 30. The explosion occurred while a bomb disposal squad team was doing an inspection. It was reported that despite the ""short circuit"", all of the lights were still on. A few days later, an al Qaeda activist and tribal leader wanted by Pakistan for the abduction of a Chinese Engineer, Cdr Abdullah Mahsud, claimed responsibility for the explosion. Interior Ministry recommended equipping law enforcement agencies with explosive detectors (despite the fact that the government still claimed the incident to be an electrical failure).[1]",Al Qaeda,
267,October 28,2,20,"Pattani Province, Thailand","A bomb exploded outside a bar frequented by tourists in Narathiwat province. Two tourists, Malaysian national Sawakiaat Hoe and Thai national Pissamai Daengdamdi, were killed in the blast. At least twenty-one were wounded. Reports indicate the blast may have been a revenge attack for the eighty-five Muslim protesters crushed to death on October 25 en route to a military detention center. It is not clear if the bar was the intended target. A police station was also nearby the blast.[1]",Pattani separatists,South Thailand insurgency
268,October 29,2,2,"Bogotá, Colombia",A bomb exploded near a bus stop along Bogotá's Transmilenio bus system route. A taxi passing by was caught in the blast resulting in the death of the driver and a passenger. Two other passengers were also injured. The explosion damaged about 30 houses in the area. The chief of police believes the attack was aimed at the bus stop but did not comment on the motive of the attack or who was responsible for it. The Transmilenio system has been the target of at least three attacks.[1],FARC (suspected),Colombian conflict
269,October 30,7,19,"Baghdad, Iraq","A car bomb exploded outside the office of the Al-Arabiya television station in Baghdad killing at least seven people and wounding nineteen. The incident was initially claimed by the National Islamic Resistance, 1920 Revolution Brigades. Later this group denied responsibility and the Jihadist Martyrs Brigades in Iraq, Saraya al-Shuhada al-jihadiyah Fi al-Iraq, claimed responsibility. The group claimed that Al-Arabiya was the ""mouthpiece of the American occupation in Iraq"" and threatened that similar attacks would be launched against any non-neutral media source. The network's staff was in a meeting at the time of the explosion.[1]",1920 Revolution Brigade (susptected),Iraq War
270,November 1,3 (+1),32,"Tel Aviv, Israel","Carmel Market bombing: A teenage Palestinian suicide bomber struck on outdoor market in Tel Aviv, killing at least three people and wounding more than thirty. The bomber hit the Carmel Market at 11 am, causing a big explosion using 5 kg of explosives. The attack was claimed by the Popular Front for the Liberation of Palestine (PFLP). The group said they carried our the attack to show that Arafat's illness would not stop the fight against the Israeli occupiers and as a warning to those who talk of reducing the resistance movement. Israeli forces razed the home of the suicide bomber the following day in retaliation.[1]",Popular Front for the Liberation of Palestine,Second Intifada
271,November 2,1,2,"Amsterdam, Netherlands",Theo van Gogh was murdered by Islamic fundamentalist Mohammed Bouyeri.[1],Mohammed Bouyeri,
272,November 2,0,4,"Islamabad, Pakistan","20-25 kilos of TNT, which was packed in a white Suzuki FX with a timing device and was parked behind the office of the provincial chief minister in the city center and 30 meters from the Afghan consulate, detonated. The perpetrator is unknown, but there have been reported low-level insurgency on government targets in the ""resource rich"" province of Baluchistan. Four people suffered minor injuries from flying glass when the car detonated. Windows were shattered and two homes were damaged.[1]",Unknown,Balochistan conflict
273,November 2,8,29,"Baghdad, Iraq","A car bomb exploded on Tuesday near the Ministry of Education in Baghdad, killing eight people and wounding twenty-nine others. The car plowed into the concrete blast walls and protective barriers surrounding the compound.[1]",Islamist insurgents,Iraq War
274,November 3,1,9,"Baghdad, Iraq","A car bomb exploded at a checkpoint on the Baghdad Airport Road, injuring 9 airline employees who were also waiting at the checkpoint. The suicide bomber detonated his bomb when a soldier approached the car and asked for identification.[1]",Islamist insurgents,Iraq War
275,November 4,1,10,"Tikrit, Iraq","A suicide bomber blew up a car in front of the building of the municipal council in Tikrit. As a result, ten people were wounded including civilians and National Guard members. Prior to the attack police guards tried to prevent the bomber from reaching the building, but failed.[1]",Islamist insurgents,Iraq War
276,November 6,4,21,"Samarra, Iraq",An attack by gunmen on a police station in central Samarra killed four policemen and wounded six others. The attack occurs on the same day as extensive violence in the city. An attack by gunmen on a police station in southern Samarra killed or wounded fifteen people (the report does not disaggregate the number of killed or injured). The attack occurs on the same day as extensive violence in the city.[1],Islamist insurgents,Iraq War
277,November 6,42,62,"Samarra, Iraq",A suicide car bomb exploded in front of a police station in Samarra. This was one of four bombs that exploded nearly simultaneously in front of different police stations in the city. The fourth bomb exploded slightly after the first three. At least forty-two people were killed and sixty-two wounded in all four attacks. The group affiliated with Abu Musab al-Zarqawi claimed responsibility for the attacks. Note: No information on each individual attack's casualty numbers was available.[1],Al Qaeda in Iraq,Iraq War
278,November 8,4,45,"Baghdad, Iraq","A car bomb exploded outside St. Matthews Catholic Church in Baghdad. The blast was one of two suicide attacks on churches in Baghdad on this day. The blasts occurred within minutes of each other, killing at least four people and wounding over forty, though it is impossible to disaggregate how many were killed and injured in each attack.[1]",Islamist insurgents,Iraq War
279,November 9,0,38,"Sundhara, Nepal","A bomb was planted inside state-owned Employees’ Provident Fund building at Sundhara, a new government office building that was supposed to be populated the next week (after the Hindu Diwali festival). Authorities are blaming the Communist Party of Nepal- Maoists (CPN-M). Thirty-eight laborers and pedestrians were injured.[1]",Communist Party of Nepal,Nepalese civil war
280,November 9,45,32,"Baqubah, Iraq","The Tahrir Police Station in Baqubah was attacked by gunmen. This was one of three police station attacks on this day. A total of forty-five people were killed and thirty-two wounded, mostly police men. Note casualty figures obtained only for the three attacks total.[1]",Islamist insurgents,Iraq War
281,November 9,0,2,"Urosevac, Serbia","A car bomb went off in Urosevac, injuring two people, one of them a US member of the NATO-led Kosovo Force (Kfor), and the other a passer-by. Police and Kfor members evacuated the area, on the suspicion that there were explosives placed in the car and while they were inspecting the car, the bomb went off.[1]",Serbian nationalists (suspected),
282,November 11,19,15,"Baghdad, Iraq","At least nineteen people were killed and fifteen wounded when a suicide bomber blew himself up in a car bomb in central Baghdad, in a busy market during rush hour. The blast damages twenty-five cars, twenty shops, and left a hole in the ground. The attack targeted a vehicle carrying Americans.[1]",Islamist insurgents,Iraq War
283,November 11,0,4,"Kirkuk, Iraq","Insurgents attacked several police stations, overwhelming and eventually controlling some of them. Several police cars were also burned. No information on how many or which police stations were attacked was available. The attacks occurred as US forces tried to control the insurgents in the city.[1]",Islamist insurgents,Iraq War
284,November 12,0,16,"Narathiwat Province, Thailand","A bomb exploded at 6 pm at the Angmor Restaurant in Narathiwat Province's Muang city district. At least sixteen people were seriously injured. A person posing as a customer left an explosives-filled bag behind a refrigerator in the restaurant and detonated it via mobile phone after leaving. The restaurant is frequented by ethnic Thais and Chinese in the province. Within two hours, two other bombs exploded in the province: one at a general store in Tak Bai, the other at a military checkpoint in the Bacho district. No one was injured in these bombings. The coordinated blasts appear to be a continuation of the violence in the area since the October 25 riot in Tak Bai in which eighty-five people were killed.[1]",Pattani separatists,South Thailand insurgency
285,November 13,6,3,"Poso, Indonesia",2004 Poso bus bombing: A bomb exploded on a minibus carrying Christians.,Jemaah Islamiyah (suspected),
286,November 13,1,8,"Yala Province, Thailand","A bomb believed to have been detonated by mobile phone exploded in a market in Yala province's Than To province. It instantly killed a vegetable vendor, Sompong Nukhao, and injured eight others.[1]",Pattani separatists,South Thailand insurgency
287,November 13,0,2,"Ban Buketa, Thailand",A bomb exploded near a market in Ban Buketa in the Waeng district of Narathiwat province. The explosion seriously injured two people: Anand Waebuesa and Roebusee Badae.[1],Pattani separatists,South Thailand insurgency
288,November 16,4,5,"Uruzgan Province, Afghanistan","A police vehicle hit a homemade bomb triggered by a remote controlled device (according to the Uruzgan province police chief Rozi Khan). Four Afghan police were killed and five injured. Among the injured was the district police chief. The injured police were evacuated by US troops in the area and brought to Kandahar for treatment. The attack was claimed by Mufti Latifullah Hakimi, claiming to speak for the Taliban.[1]",Taliban,War in Afghanistan
289,November 17,2,29,"Mingora, Pakistan","A bomb exploded in a cinema in Mingora, killing two people and wounding twenty-nine. The bomb was planted under a seat at the back of Palwasha cinema and exploded just before the end of the movie. The bomb was apparently hidden in a plastic bag. It is possible that the suspect could be among the wounded.[1]",Unknown,
290,November 17,1,4,"Kashmir, India","One person was killed and four other injured when a funeral procession for two youths, Ranjit Kumar and Roshan Lal, was attacked by militants in Tund Nallah. The attackers threw a bomb at the procession and also sprayed the crowd with gunfire. The two dead youths being honored by the funeral had been gunned down by ultras earlier. The Prime Minister was also scheduled to visit the region the next day.[1]",Islamic extremists,Kashmir conflict
291,November 19,2,10,"Baghdad, Iraq",A suicide bomber exploded his vehicle near an Iraqi police patrol in Baghdad. One policeman was injured and one killed. Up to ten bystanders were also wounded.[1],Islamist insurgents,Iraq War
292,November 21,0,9,"Kissufim, Israel",Nine Israeli settlers were wounded in a joint attack by the Islamic Jihad and Popular Front for the Liberation of Palestine (PFLP) groups. The groups ambushed a convoy of vehicles along the Kissufim road. Two vehicles fell into a nearby valley.[1],Islamic Jihad and Popular Front for the Liberation of Palestine,Second Intifada
293,November 25,1,4,"Oismae, Estonia","A man was detained wearing explosives near a housing block in the residential district of Oismae. While in a police car with four law-enforcement officers, the man activated the explosive device, killing himself and wounding four others. The man was reported as ""Russian speaking"", but no other details about him are known.[1]",Russian lone wolf,
294,November 26,0,3,"Kunduz City, Afghanistan","Three German soldiers affiliated with the NATO led International Assistance Force (ISAF) in Afghanistan were injured when a bomb exploded while they were patrolling Kunduz City to the airport southwest of the city in their car. The Taliban claimed responsibility in a letter left beside the bomb site. They threatened more attacks on foreign troops and cited an ""attack against the infidels"".[1]",Taliban,War in Afghanistan
295,November 26,6,15,"Baghdad, Iraq","Four members of a British security firm, Global Risk Strategies, that provides security in Iraq were killed and fifteen wounded when either a rocket or a mortar round hit the firm's compound. The four dead were of Nepalese origin. This attack took place in Baghdad's heavily guarded Green Zone. Ansar al-Sunnah claimed responsibility for the attack.[1]",Ansar al-Sunnah,Iraq War
296,November 27,2,0,"Chechnya, Russia","Two policemen were killed in Germenchuk, in Chechnya's Shali district, when unidentified attackers fired Kalashnikov assault rifles into their car from another car on Germanchuk's central street. The attackers' car was later found abandoned fifteen miles away.[1]",Unknown,Second Chechen War
297,November 28,6,5,"Samarra, Iraq","A car bomb killed six people and injured five others when it hit two civilian vehicles in Samarra, 60 miles north of Baghdad. The blast occurred as a minibus drove past a school. All the casualties were passengers in the minibus.[1]",Islamist insurgents,Iraq War
298,November 28,1,6,"Bogotá, Colombia",A bomb exploded beside the mayor's office in the Rafael Uribe district of Bogotá on Sunday evening. Initial reports indicated the Revolutionary Armed Forces of Colombia (FARC) were involved. The only fatality was the person who was carrying the bomb. Those injured where passengers in a bus traveling by when the explosion took place. Otherwise the explosion damaged the building and broke the windows of the bus.[1],FARC,Colombian conflict
299,November 29,12,10,"Ramadi, Iraq",A suicide bomber drove into a group of policemen waiting to collect their salaries in western Ramadi. Twelve people were killed and ten wounded. Most of the victims were police officers.[1],Islamist insurgents,Iraq War
300,November 30,3,8,"Bogotá, Colombia",Three people were killed and eight wounded when a fragment grenade was left at a supermarket checkout counter. It is believed that the National Liberation Army (ELN) is behind the attack which was carried out in retaliation for the recent capture of one of their chiefs. A man who left the bomb quickly fled through the back exit.[1],ELN,Colombian conflict
301,December 1,3,2,"Farah Province, Afghanistan","The Taliban attacked the staff of the Ministry of Rural Development in Farah Province. Three were killed, two wounded, and one was taken hostage. The date of the attack was not mentioned, however, Mohammad Hanif Atmar, Afghan Rural Development Minister released his statement regarding the attack on December 1. The tactic and weapon were unknown[1]",Taliban,War in Afghanistan
302,December 2,1,1,"Pattani Province, Thailand","Chalermpong Muakchumbot, a Buddhist school teacher, was gunned down by motorcycle gunmen, who followed him as he was driving home from school. A passenger in the car, Charal Kanchanarangsri, was also injured in the shooting. The attack took place in the Saiburi district of Pattani province. Police believe that the killings were part of targeted attacks by Muslim militants in Southern Thailand.[1]",Pattani separatists,South Thailand insurgency
303,December 2,3,20,"Baghdad, Iraq",A mortar attack was launched against the Abi-Nuwwas theater in Baghdad. This was one of several attacks in Baghdad on this day. A total of three people were killed and dozens wounded.[1],Islamist insurgents,Iraq War
304,December 3,0,6,"Madrid, Spain","A small, low-potency explosive device, detonated at a petrol station along the N-5 highway (which leads to Lisbon) in Madrid. This was one of five explosive attacks on petrol stations throughout Madrid on this evening. An anonymous caller representing the Basque Fatherland and Freedom (ETA) warned of the devices prior to their detonation. Six people were slightly injured in the attacks, though it is impossible to disaggregate the numbers for each individual attack. The attacks came as residents were traveling away from the city for a holiday weekend.[1]",ETA,Basque conflict
305,December 3,0,10,"Mosul, Iraq","Unknown individual shelled the Ninawa Governorate building in Mosul with three mortar shells. The shells fell on a residential community near the building, wounding at least ten people.[1]",Unknown,Iraq War
306,December 4,9,38,"Baghdad, Iraq","A suicide bomber drove a minibus filled with explosives into a police station near the Green Zone, killing eight officers and wounding thirty-eight. Police officers were gathering in front for roll call at the time of the attack. The blast caused the roof of the station to collapse.[1]",Islamist insurgents,Iraq War
307,December 4,15,25,"Mosul, Iraq",Fifteen Kurdish security personnel were killed and twenty-five wounded when a bomb detonated outside of the Patriotic Union of Kurdistan headquarters in Mosul. The security personnel were in a bus in front of the headquarters when the bomb detonated.[1],Islamist insurgents,Iraq War
308,December 6,0,1,"Rangae District, Thailand","A bomb went off in Rangae district, Narathiwat province. The bomb detonated at a gathering point of defense volunteers near Tanyongmas market. The senior chief of Rangae district, Preecha Nuannoi, was injured.[1]",Pattani separatists,South Thailand insurgency
309,December 6,0,1,"Ciudad Real, Spain","One police officer was injured in an explosive attack in Ciudad Real. An explosive device detonated in the kitchen of the El Peral café in the city, after an anonymous caller representing the Basque Fatherland and Freedom (ETA) called in a warning of the attack. This was one of seven bomb attacks that took place all over Spain on this day, a holiday to celebrate Spain's independence. All seven of the bombs are being blamed on ETA. These attacks also come only three days after a series of five explosive devices detonated at five gas stations in Madrid. Those attacks are being blamed on ETA as well.[1]",ETA,Basque conflict
310,December 6,0,2,"Santillana del Mar, Spain","An explosive device detonated in the Robleda Park in Santillana del Mar, injuring two people; a woman and a child. This was one of seven bomb attacks that took place all over Spain on this day, a holiday to celebrate Spain's independence. All seven of the bombs are being blamed on the Basque Fatherland and Freedom (ETA). These attacks also come only three days after a series of five explosive devices detonated at five gas stations in Madrid. Those attacks are being blamed on ETA as well.[1]",ETA,Basque conflict
311,December 6,1,2,"Bala Buluk District, Afghanistan","A suspected Al Qaeda armed attack was carried out on police in a village in Bala Buluk District, Farah Province. One policeman was killed and two were injured. One suspect was arrested and two escaped. Two Corolla station wagons were seized by the police.[1]",Al Qaeda (suspected),War in Afghanistan
312,December 6,9,15,"Jeddah, Saudi Arabia","Five Saudi militants attacked the US consulate in the Saudi port city of Jeddah. Saudi forces killed three of the militants and wounded the other two (one subsequently died of his wounds). The militants threw explosives at the gates of the walled consulate and then entered through the entrance used to deliver mail to the consulate, firing at the guards as they went. They had tried to enter in their car but were blocked by an automatic gate. About eighteen third-country nationals were taken hostage inside the consulate for some time, but were later released. Some reports indicated the hostages were used as human shields when the Saudi guards engaged the militants. American Marines and Saudi guards eventually repelled the militants. Five non-American employees were killed in the attack along with some Saudi security personnel. The victims were of several nationalities: one Yemeni, one Sudanese, one Filipino, a Pakistani, and a Sri Lankan. Several Saudi security personnel were also injured in the attack, along with more embassy personnel (two Yemenis, two Pakistanis, a Lebanese, a Filipino, an Indian, and Sri Lankan). Saudi sources said that several Saudi civilians were also hit by gunfire. Two Americans sustained slight injuries. Consulate workers reported that the militants entered one of the consulate buildings and began screaming: ""Where are the Americans?"" However, no Americans worked in that building. The attackers failed to reach the main building where Americans work. A Saudi group linked to Al-Qaeda, calling itself Qaeda al Jihad in the Arabian Peninsula, claimed responsibility for the attack on several Islamic websites. The group said that the attack had been organized by al-Qaeda. However, during the attack the hostage takers called Saudi officials and identified themselves as the Fallujah Brigades (this discrepancy is not yet addressed). The attack occurs exactly one year after the Interior Ministry took the step of listing twenty-six wanted terrorists linked to al-Qaeda. None of the attackers were on this list of most wanted terrorists. Several of the militants were later identified as Fayiz Bin Awwad al-Jihinni, Id Bin Dakhilallah al-Jihinni, and Hasan bin-Hamid al-Hazimi.[1]",Al Qaeda in the Arabian Peninsula,
313,December 7,0,3,"Mosul, Iraq","Militants bombed two churches in Mosul, wounding a total of three people in the attacks. The first attack occurred at the church of the Chaldean bishopric in Mosul. Three people were wounded in this attack. The attackers ordered the guards out of the church before detonating the explosives. Severe damage was done to the church.[1]",Islamist insurgents,Iraq War
314,December 8,1,5,Iraq,"A bomb exploded near two Iraqi police vehicles, as the vehicles passed by. The explosion killed one policeman and wounded five others. Only one of the cars was severely damaged.[1]",Islamist insurgents,Iraq War
315,December 9,0,22,"Makhachkala, Russia","An explosion destroyed a section of the Mozdok-Gazimagomed gas pipeline, injuring twenty-two people. The fire resulting from an explosion of unknown origin began at about 10:00 pm Moscow time at the 614th kilometer of the pipeline just outside Makhachkala. The explosion put about 148,000 people out of natural gas. Most of the twenty-two injured were mildly to severely burned. Preliminary analysis pointed to the possibility of an artillery shell aimed at the pipeline.[1]",Shariat Jamaat (suspected),Second Chechen War
316,December 11,2,19,"Colombo, Sri Lanka","A bomb detonated by an unknown person resulted in two deaths, including one journalist, and nineteen reported injuries. The attack was at an open-air stadium staging a concert of the Indian artist Shahrukh Khan in Colombo. The concert was being protested by Buddhist monks for being held on the anniversary of the death of a monk one year before (Gangodawila Soma). The artist observed a minute of silence in honor of the monk and proceeded. Many government dignitaries, including, the High Commissioner of India Nirupama Rao, Minister of Transport Felix Perera, Minister for Medium &amp; Small Plantation Industries &amp; Rural Human Resource Development C.B. Ratnayake, Deputy Minister of Tourism, Industries, and Investment Promotion Arjuna Ranatunga, and the Secretary of the Ministry C. Ramanujan, Thilanga Sumathipala, were all in attendance.[1]",Unknown,Sri Lankan Civil War
317,December 13,15,58,"General Santos City, Philippines","A bomb exploded in a public market in General Santos City, killing sixteen people and wounding at least fifty-seven others. A week prior to the event, an anonymous source claimed that a group associated with Al-Ghozi (a member of Jemaah Islamiyah) threatened to burn the market in retaliation for the death of one of its members. However, Philippine police initially downplayed the bombing as the result of a feud between Christian and Muslim groups. Soon after the bombing, military intelligence sources concluded that Jemaah Islamiyah was responsible for the bombing and was working with Abu Sayyaf to bomb other targets on Mindanao Island. Police have arrested five suspects in the bombing, including Omar Hassan, an ASG rebel. Another four rebels were arrested in June 2005, including Uztadz Norodin Mangelen, the leader of the group thought responsible for this attack and another in March 2003 against the Davao airport. Mangelen told authorities that he is a local liaison for the JI.[1]",Jemaah Islamiyah and Abu Sayyaf,Moro conflict
318,December 14,0,3,"Bogotá, Colombia",Three people were injured when a small bomb exploded in the back seat of a bus in the Transmilenio rapid transit system in Bogotá. Authorities believe the attack was carried out by the Revolutionary Armed Forces of Colombia (FARC). This is the third such attack in forty-five days.[1],FARC,Colombian conflict
319,December 14,13,15,"Baghdad, Iraq","A suicide bomber exploded his vehicle while in line at a checkpoint at the Western Gate of the Green Zone in Baghdad. Thirteen people were killed and fifteen wounded in the attack. Most of those killed were people waiting to enter the compound. No Americans were killed in the attack. The attack occurs exactly one year after the capture of Saddam Hussein. The group linked to Abu Musab al-Zarquawi, al-Qaeda in Iraq or Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn claimed responsibility for the attack.[1]",Al Qaeda in Iraq,Iraq War
320,December 14,2,8,"Assam, India","Two explosions occurred near the Assam Assembly building. The attacks were carried out by the United Liberation Front of Assam (ULFA). Two persons were killed and eight injured. Authorities believe that the group carried out these attacks to mark the completion of a year of the Bhutan operations that have ""evicted the ULFA from the Himalayan kingdom.""[1]",United Liberation Front of Assam,Assam conflict
321,December 14,7,13,"Baghdad, Iraq",A suicide bomber blew up his vehicle at the western checkpoint into Baghdad's Green Zone. The blast occurred at the same place as a suicide bomb attack had occurred the day before. There were no US casualties in the attack.[1],Islamist insurgents,Iraq War
322,December 14,20,40,"Basra–Baghdad, Iraq","Ten cars carrying eighty-five Iraqi police recruits were attacked while traveling between Basra and Baghdad. Twenty-four recruits were killed or wounded and thirteen others were missing. Nine vehicles were destroyed. In addition, four policemen were killed and twenty were wounded (not recruits). Note: Injury and fatality numbers are estimates.[1]",Islamist insurgents,Iraq War
323,December 15,12,40,"Karbala, Iraq","An explosive charge went off outside one of the entrances to the Imam Al-Husayn Shiite shrine in the city of Karbala. Twelve people were killed and about forty injured. The bomb exploded when a group of people were walking into evening prayers, following an aide to cleric Ayatollah Ali al-Sistani. The aide, Sheik Abdul Mahdee al-Karbalayee, was wounded in the attack and is believed by some to be the primary target of the attack. He later died of his wounds. Local leaders also believe the attack was intended to fuel tension between Shiites and Sunnis in the lead up to the Iraqi election. The shrine is one of the holiest sites for Shiites and attracts pilgrims every month.[1]",Sunni insurgents,Iraq War
324,December 15,0,12,"Assam, India",Four explosions in insurgent Assam province injured twelve civilians and police officers.[1],United Liberation Front of Assam (suspected),Assam conflict
325,December 16,1,8,Iraq,"The deputy head of the Iraqi Communication Ministry, Qassim Mehawi, was shot when gunmen attacked his car while he was on his way to work. Eight of his bodyguards were injured in the attack.[1]",Islamist insurgents,Iraq War
326,December 17,1,11,"Assam, India",The United Liberation Front of Assam (ULFA) carried out a grenade attack on a hotel in the Paltan Bazaar in Guwahati. There were eleven seriously injured and one person was killed. This is following several days of heightened violence and attacks by ULFA.[1],United Liberation Front of Assam,Assam conflict
327,December 19,14,50,"Karbala, Iraq","2004 Karbala and Najaf bombings: A car bomb exploded near a bus stop in Karbala, killing fourteen and wounding at least fifty. The attack also occurred near the twin shrines of Hussein and Abbas. Grand Ayatollah Ali al-Sistani also lives near the site of the blast. It was unclear if he was a target or not. The attack occurs on the same day as a bombing in Najaf. At least fifty people were detained in connection with the Najaf bombing and could have connections to Karbala as well.[1]",Islamist insurgents,Iraq War
